Datetime Normalized,Initiating Master,Master Side,Reporting Master X (mm),Reporting Master Y (mm),Reporting Master Z (mm),Initiating Vehicle,Initiating Vehicle Length (mm),Reporting Slave,Slave Side,Reporting Slave X (mm),Reporting Slave Y (mm),Reporting Slave Z (mm),Reporting Vehicle,Reporting Vehicle Length (mm),Correction Distance (mm),UWB Distance (mm),Surveyed Distance (mm),Timestamp Norm (s),Timestamp Local (s),Instant Update Rate (Hz)
2021-05-25 10:48:08.339451904,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1763.0,4581,,1621939688.339452,1621939689.49579,0.0040416314215505
2021-05-25 10:48:08.440391936,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1748.0,4567,,1621939688.440392,1621939689.59673,9.906876442286116
2021-05-25 10:48:08.541328896,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1734.0,4553,,1621939688.541329,1621939689.697667,9.907180650037793
2021-05-25 10:48:08.639269120,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1786.0,4604,,1621939688.639269,1621939689.795607,10.210311326197507
2021-05-25 10:48:08.739206912,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1802.0,4619,,1621939688.739207,1621939689.895545,10.006212276641936
2021-05-25 10:48:08.841142784,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1786.0,4604,,1621939688.841143,1621939689.997481,9.81009004794761
2021-05-25 10:48:08.939083008,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1811.0,4628,,1621939688.939083,1621939690.095421,10.210311326197507
2021-05-25 10:48:09.140957184,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1840.0,4656,,1621939689.140957,1621939690.297295,4.953584474697096
2021-05-25 10:48:09.241893120,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1816.0,4633,,1621939689.241893,1621939690.398231,9.90727425618156
2021-05-25 10:48:09.340832000,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1845.0,4661,,1621939689.340832,1621939690.49717,10.10724372258904
2021-05-25 10:48:09.440769792,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1883.0,4698,,1621939689.44077,1621939690.597108,10.006212276641936
2021-05-25 10:48:09.538711040,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1868.0,4684,,1621939689.538711,1621939690.695049,10.210211906181916
2021-05-25 10:48:09.640646912,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1897.0,4712,,1621939689.640647,1621939690.796985,9.81009004794761
2021-05-25 10:48:09.741581824,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1888.0,4703,,1621939689.741582,1621939690.89792,9.907367864094182
2021-05-25 10:48:09.838525184,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1945.0,4759,,1621939689.838525,1621939690.994863,10.31532504199366
2021-05-25 10:48:09.940463104,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1950.0,4764,,1621939689.940463,1621939691.096801,9.809883548235447
2021-05-25 10:48:10.040400896,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1964.0,4778,,1621939690.040401,1621939691.196739,10.006212276641936
2021-05-25 10:48:10.140336128,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1979.0,4792,,1621939690.140336,1621939691.296674,10.006498742717543
2021-05-25 10:48:10.238276864,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1950.0,4764,,1621939690.238277,1621939691.394615,10.2102367610043
2021-05-25 10:48:10.339212800,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1988.0,4801,,1621939690.339213,1621939691.495551,9.90727425618156
2021-05-25 10:48:10.441152000,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1984.0,4797,,1621939690.441152,1621939691.59749,9.809768829929554
2021-05-25 10:48:10.541090048,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2055.0,4867,,1621939690.54109,1621939691.697428,10.006212276641936
2021-05-25 10:48:10.641026048,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2012.0,4825,,1621939690.641026,1621939691.797364,10.006403252203205
2021-05-25 10:48:10.738964992,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2046.0,4858,,1621939690.738965,1621939691.895303,10.210435603939764
2021-05-25 10:48:10.838903808,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,1998.0,4811,,1621939690.838904,1621939691.995242,10.0061167915949
2021-05-25 10:48:10.935843072,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2012.0,4825,,1621939690.935843,1621939692.092181,10.315756335589484
2021-05-25 10:48:11.039779840,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2075.0,4886,,1621939691.03978,1621939692.196118,9.621221122944972
2021-05-25 10:48:11.141714944,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2084.0,4895,,1621939691.141715,1621939692.298053,9.810158883116944
2021-05-25 10:48:11.239654144,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2103.0,4914,,1621939691.239654,1621939692.395992,10.210435603939764
2021-05-25 10:48:11.340594944,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2098.0,4909,,1621939691.340595,1621939692.496933,9.906782843659434
2021-05-25 10:48:11.439529984,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2118.0,4928,,1621939691.43953,1621939692.595868,10.107657791176562
2021-05-25 10:48:11.539470080,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2142.0,4952,,1621939691.53947,1621939692.695808,10.005997437848746
2021-05-25 10:48:11.641405952,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2108.0,4919,,1621939691.641406,1621939692.797744,9.810067103105828
2021-05-25 10:48:11.739343872,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2142.0,4952,,1621939691.739344,1621939692.895682,10.210559884707424
2021-05-25 10:48:11.839283968,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2164.0,4974,,1621939691.839284,1621939692.995622,10.005997437848746
2021-05-25 10:48:11.938516992,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2150.0,4960,,1621939691.938517,1621939693.094855,10.07727755433503
2021-05-25 10:48:12.040452864,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2179.0,4988,,1621939692.040453,1621939693.196791,9.81009004794761
2021-05-25 10:48:12.140317952,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2170.0,4979,,1621939692.140318,1621939693.296656,10.013522288857482
2021-05-25 10:48:12.241255168,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2218.0,5026,,1621939692.241255,1621939693.397593,9.90715724877823
2021-05-25 10:48:12.340194048,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2223.0,5031,,1621939692.340194,1621939693.496532,10.10724372258904
2021-05-25 10:48:12.438132992,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2260.0,5068,,1621939692.438133,1621939693.594471,10.210435603939764
2021-05-25 10:48:12.540070144,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2255.0,5063,,1621939692.54007,1621939693.696408,9.809975324812012
2021-05-25 10:48:12.639009024,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2271.0,5078,,1621939692.639009,1621939693.795347,10.10724372258904
2021-05-25 10:48:12.739945984,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2280.0,5087,,1621939692.739946,1621939693.896284,9.907180650037793
2021-05-25 10:48:12.839884032,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2251.0,5059,,1621939692.839884,1621939693.996222,10.006188405209327
2021-05-25 10:48:12.939820032,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2313.0,5120,,1621939692.93982,1621939694.096158,10.006403252203205
2021-05-25 10:48:13.038760960,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2294.0,5101,,1621939693.038761,1621939694.195099,10.10704887852179
2021-05-25 10:48:13.138699008,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2356.0,5162,,1621939693.138699,1621939694.295037,10.006188405209327
2021-05-25 10:48:13.239635968,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2317.0,5124,,1621939693.239636,1621939694.395974,9.907180650037793
2021-05-25 10:48:13.341052160,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2342.0,5148,,1621939693.341052,1621939694.49739,9.860366269365494
2021-05-25 10:48:13.440157952,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2370.0,5176,,1621939693.440158,1621939694.596496,10.09022324865281
2021-05-25 10:48:13.539097088,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2365.0,5171,,1621939693.539097,1621939694.695435,10.1072193666698
2021-05-25 10:48:13.640034048,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2404.0,5209,,1621939693.640034,1621939694.796372,9.907180650037793
2021-05-25 10:48:13.740972032,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2399.0,5204,,1621939693.740972,1621939694.89731,9.907063644845463
2021-05-25 10:48:13.838910976,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2418.0,5223,,1621939693.838911,1621939694.995249,10.210435603939764
2021-05-25 10:48:13.941849088,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2456.0,5260,,1621939693.941849,1621939695.098187,9.714591444645434
2021-05-25 10:48:14.038786816,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2456.0,5260,,1621939694.038787,1621939695.195125,10.31588319351086
2021-05-25 10:48:14.140723968,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2438.0,5242,,1621939694.140724,1621939695.297062,9.809975324812012
2021-05-25 10:48:14.239665152,0C1A,A,290,-1190,2820,1,15470,1912,B,2420,1460,1870,2,12140,2490.0,5293,,1621939694.239665,1621939695.396003,10.107024523541588
